system,rho,topic,RR,RBP05,RBP085,AP
acsys7mi,1,400,1.0,0.9996923503789186,0.9331706765597313,0.5010354179230117
APL985L,1,351,1.0,0.7280889824042465,0.5804954074650595,0.2256636528461475
APL985L,1,352,0.09090909090909091,0.0007326900959299112,0.06273984539784633,0.02286485027830275
APL985L,1,353,1.0,0.5975045222820299,0.5110601959433688,0.3271320798247602
APL985L,1,354,0.5,0.2580895582232314,0.24302049128462289,0.11185974739049664
APL985L,1,355,1.0,0.5781269670696947,0.3211941770225618,0.09731712275636828
APL985L,1,356,0.1111111111111111,0.002197267735027708,0.06904110675774289,0.051992945543672155
APL985L,1,357,1.0,0.8602324738789575,0.6139300024724865,0.13577291161849314
APL985L,1,358,0.5,0.3164255637748319,0.2973155170231403,0.0993670766757247
APL985L,1,359,0.1111111111111111,0.0019550323486328125,0.0489247542864337,0.037819603025123764
APL985L,1,360,1.0,0.9998765730344075,0.9524824853577184,0.389976060311978
APL985L,1,361,0.3333333333333333,0.222930908203125,0.36739818772526533,0.3095441595441595
APL985L,1,362,0.16666666666666666,0.016611099272779706,0.1214821329457113,0.06950317594836444
APL985L,1,363,0.5,0.2539062504656613,0.17673128494081078,0.07986465041420256
APL985L,1,364,1.0,0.9048220515251337,0.6741846311719173,0.3577648905637992
APL985L,1,365,1.0,0.9992497060775354,0.8952203945717268,0.5964497929591581
APL985L,1,366,1.0,0.8297509767192739,0.5776125562164419,0.29404900186558064
APL985L,1,367,0.1,0.001100544002871101,0.06711375623953537,0.02152112247159868
APL985L,1,368,1.0,0.9599027642699519,0.7473811315297327,0.33190950264557073
APL985L,1,369,1.0,0.9062805473804474,0.48263086451546755,0.3615721996580634
APL985L,1,370,0.5,0.42136220458505314,0.608650459489549,0.18617492771842747
APL985L,1,371,0.02702702702702703,7.275957614183426e-12,0.00043169245918055324,0.00579192246974498
APL985L,1,372,1.0,0.5468788184230108,0.3064778865787413,0.1035413523482866
APL985L,1,373,1.0,0.9796829260885787,0.7410492154031171,0.33982638935142717
APL985L,1,374,0.3333333333333333,0.17725641562740968,0.405508160894856,0.124288233638797
APL985L,1,375,0.5,0.44454241551290624,0.5249115928158996,0.15826881329483028
APL985L,1,376,0.022222222222222223,2.8421709430429857e-14,0.00011782949412611523,0.0035381868959410675
APL985L,1,377,1.0,0.7812500149011825,0.35856558501368374,0.1053598778029825
APL985L,1,378,0.02564102564102564,1.8189894052403364e-12,0.00031468164671689236,0.00579803496441444
APL985L,1,379,0.25,0.0625,0.09212019440389381,0.028543157565819058
APL985L,1,380,1.0,0.6259765625,0.2931175419428195,0.2903394850418238
APL985L,1,381,1.0,0.5000000004947669,0.1518035139977802,0.047065314416164176
APL985L,1,382,0.5,0.3521042475476861,0.4286177281466196,0.26738323814305137
APL985L,1,383,0.1,0.0009765625002451372,0.03511265394438983,0.007350167153224122
APL985L,1,384,1.0,0.7666169413389596,0.40067784710306675,0.22500238635082048
APL985L,1,385,1.0,0.5161132812501137,0.24627441131935845,0.046814502061588596
APL985L,1,386,0.008547008547008548,6.01853107761141e-36,9.796585675158585e-10,0.0044853979681098695
APL985L,1,387,1.0,0.7816190719608755,0.4177640202133591,0.15090603085634902
APL985L,1,388,0.1,0.0010195970544710784,0.08233717966603177,0.07664723825308693
APL985L,1,389,0.007936507936507936,1.1754943508222875e-38,2.2566124161010457e-10,0.00010022787679468448
APL985L,1,390,1.0,0.5283397473394871,0.38954587410018027,0.04635112388702368
APL985L,1,391,1.0,0.7578201300148208,0.3486823539102376,0.060550464117039335
